,name,company,year,Price,kms_driven,fuel_type
0,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
2,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
3,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
4,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
5,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
6,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
7,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
8,Datsun Go Plus,Datsun,2016,425000,5,Petrol
9,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
10,Ford Figo Petrol,Ford,2019,525000,0,Petrol
11,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
12,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
13,Tata Nexon,Tata,2019,425000,0,Petrol
